fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance_km
7.5,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1.0,1.683322752402931
7.7,-73.994355,40.728225,-73.99471,40.750325,1.0,2.4575898837790584
12.9,-74.005043,40.74077,-73.962565,40.772647,1.0,5.036377190242993
5.3,-73.976124,40.790844,-73.965316,40.803349,3.0,1.661683458435346
4.9,-73.96901899999999,40.75591,-73.96901899999999,40.75591,1.0,0.0
9.7,-73.975187,40.745767,-74.00272,40.743537,1.0,2.332711009340077
12.5,-74.001065,40.741787,-73.96304,40.775012,1.0,4.889416888104932
6.5,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1.0,2.2508576218600655
10.9,-73.953352,40.767382,-73.97251,40.796137,1.0,3.581250827378925
6.9,-73.97336999999999,40.755193,-73.97826500000001,40.766375,1.0,1.3099499000119
9.7,-73.990718,40.75192,-73.97305300000001,40.74423,2.0,1.7162774216529932
4.9,-73.988908,40.756982,-73.981246,40.76005,1.0,0.7299655487752681
10.5,-74.00566500000001,40.741138,-73.97783000000001,40.749338,2.0,2.5159500721201353
12.0,-73.96253204345702,40.767189025878906,-73.97445678710938,40.75386047363281,1.0,1.7903192532933896
4.9,-73.992075,40.719633,-73.985323,40.727405,1.0,1.0347036107860215
10.5,-73.98002199999999,40.74599,-74.00343199999999,40.759667,1.0,2.4902437611965915
5.0,-73.98918914794923,40.72914123535156,-73.9872817993164,40.72063446044922,2.0,0.9594688591851598
4.1,-74.010798,40.726085,-74.00976700000001,40.737402,2.0,1.2613880250404355
7.7,-73.9943,40.739512,-73.98807,40.724482,2.0,1.751762582083585
9.5,-73.986059,40.757159,-73.97613,40.780589,1.0,2.7361888046764697
5.0,-73.957802,40.776372,-73.957422,40.78287,1.0,0.7232527134113774
12.0,-73.993909,40.741551,-73.987874,40.770232,1.0,3.2294390767342174
4.9,-73.97778000000001,40.763656,-73.989486,40.772966,1.0,1.4295153219088788
7.7,-74.004184,40.712975,-73.988385,40.725102,1.0,1.8950465432768815
10.5,-73.982085,40.771387,-73.95961,40.769445000000005,1.0,1.90493270903141
11.0,-73.991186,40.741393,-74.00971,40.716455,2.0,3.1821134289666895
8.1,-73.98869,40.751273,-73.95881,40.764643,3.0,2.9230196514159985
5.7,-74.010863,40.710813,-74.001205,40.718745,1.0,1.2002121842415259
6.9,-73.96869699999999,40.754998,-73.987302,40.73594,1.0,2.6357871666998025
7.7,-73.96837,40.759005,-73.979105,40.77757,3.0,2.253610790734642
15.7,-73.97336,40.786952,-73.97281,40.743548,1.0,4.826526866189427
9.0,-73.970164,40.765016,-73.962801,40.77478,1.0,1.2502909601091337
4.9,-73.987139,40.753038,-73.97779399999999,40.751834,1.0,0.7984731247774794
5.4,-73.994222,40.751229,-73.99833100000001,40.744342,1.0,0.8403949918801996
3.3,-73.982371,40.765501,-73.985248,40.762808,1.0,0.38519870795789823
8.9,-73.977137,40.779272,-73.970457,40.757972,1.0,2.434342813775855
17.0,-73.9939,40.751714,-73.958575,40.76039,1.0,3.1279052128174074
12.0,-73.97952270507811,40.72731018066406,-73.98487854003906,40.760650634765625,1.0,3.734645613940409
13.5,-73.96204300000001,40.805372,-73.988447,40.770140000000005,1.0,4.504354287329575
7.7,-73.983052,40.776055,-73.97409300000001,40.763797,1.0,1.5578986978690137
13.3,-73.9859,40.7277,-73.9825,40.7719,1.0,4.923153810340649
14.9,-73.997385,40.720822,-73.955628,40.782252,1.0,7.683147455752003
16.9,-73.986593,40.759143,-74.001767,40.72012,1.0,4.523566835042452
6.5,-73.990305,40.756175,-74.00367800000001,40.759173,1.0,1.1746720856063888
6.5,-73.968111,40.765625,-73.980863,40.75916,1.0,1.2923801933419812
5.3,-73.98973000000001,40.734507,-74.001847,40.740387,1.0,1.2123198451318502
4.1,-73.954332,40.77406,-73.952558,40.766325,2.0,0.8729704691968458
9.0,-73.97213745117188,40.7498893737793,-73.98185729980467,40.73242568969727,1.0,2.107472694933819
17.3,-73.975307,40.757499,-74.010737,40.711715000000005,3.0,5.9016354652589635
6.5,-73.997925,40.749805,-74.003443,40.754337,2.0,0.6855631370933565
20.0,-73.977453,40.785215,-73.98595,40.734955,1.0,5.634292439467108
13.0,-73.993619,40.749808,-73.992512,40.756546,2.0,0.755011650142511
5.5,-73.968242,40.762112,-73.979687,40.765432,1.0,1.0321734773328322
15.5,-73.98994499999999,40.733990000000006,-73.95831,40.780797,1.0,5.847115069381374
8.5,-73.99765014648438,40.73622131347656,-73.9818115234375,40.76134872436523,2.0,3.0962604236489097
7.5,-73.99793299999999,40.756223,-73.98152900000001,40.742386,1.0,2.068041832270027
21.0,-73.95431518554686,40.76970291137695,-73.9901351928711,40.75743865966797,1.0,3.3106837403031864
4.1,-73.99455400000001,40.721011,-73.989079,40.722964000000005,2.0,0.5099454931160742
5.7,-73.99096800000001,40.72757,-73.99136999999999,40.74472,1.0,1.9072937584277376
19.3,-74.013173,40.704148,-73.984285,40.754962,1.0,6.1522957730605645
12.0,-74.010142,40.719717,-74.013625,40.702315000000006,1.0,1.957156968890051
11.3,-73.98149599999999,40.768334,-73.95610400000001,40.804763,1.0,4.5802219559262465
9.7,-73.94984000000001,40.796042,-73.962738,40.759112,3.0,4.2476164544772566
4.9,-73.98698900000001,40.7208,-73.976607,40.722857,1.0,0.9043265972847649
11.0,-73.96671295166014,40.80403518676758,-73.93840026855469,40.79726791381836,1.0,2.4991455828755447
3.5,-73.97534942626955,40.75249099731445,-73.97386169433594,40.7488899230957,2.0,0.4195742643579332
7.7,-73.987383,40.721255,-73.95473299999999,40.730683,1.0,2.9443036554801694
5.3,-73.971503,40.760135,-73.961437,40.768975,1.0,1.29803428136408
4.5,-73.98192,40.761172,-74.016152,40.704765,1.0,6.903595570455703
7.3,-74.008325,40.725947,-73.988232,40.720322,1.0,1.805093407262824
6.5,-73.99260500000001,40.733957,-73.980698,40.742135,1.0,1.3540018764349129
5.3,-73.986465,40.755052,-73.996115,40.744817,3.0,1.3985774606880699
9.3,-73.95770999999999,40.765555,-73.97005899999999,40.762758000000005,1.0,1.0855333061488535
3.7,-73.97645899999999,40.744077,-73.983699,40.734203,1.0,1.2560027307656176
4.0,-73.950582,40.786452,-73.9575,40.776686,1.0,1.232283733752288
9.5,-73.97843170166014,40.75239944458008,-74.00042724609375,40.74211883544922,1.0,2.177181862448128
4.5,-73.990055,40.756413,-73.983047,40.756727000000005,3.0,0.5913089720406205
3.3,-73.982326,40.731314000000005,-73.989649,40.734398,1.0,0.7059199000020814
4.1,-73.977633,40.753166,-73.981589,40.757359,1.0,0.573073660056064
6.0,-73.95018768310547,40.71929550170898,-73.94046020507811,40.724212646484375,1.0,0.9853746921337735
4.0,-73.988752,40.758687,-73.98508000000001,40.773772,1.0,1.7056436942563327
10.1,-73.99268000000001,40.768321,-74.00233,40.746864,2.0,2.520556440910254
18.0,-73.95474243164062,40.68746948242188,-73.98821258544923,40.73051071166992,1.0,5.555583502410186
5.7,-73.988433,40.737176,-73.981018,40.747329,1.0,1.2902700094436983
6.5,-73.964187,40.757303,-73.98338199999999,40.743835,1.0,2.2038976300658244
4.9,-73.98575799999999,40.753255,-73.98142,40.746513,1.0,0.8339951625062232
6.1,-73.9956,40.754782,-74.002493,40.734401,1.0,2.3394783327850464
10.0,-73.976022,40.76004,-73.982853,40.74504,1.0,1.764386411875116
10.5,-73.98860400000001,40.778445,-73.99493100000001,40.749954,1.0,3.212554418920463
8.9,-73.997975,40.720503,-74.001847,40.737797,1.0,1.9504871655301903
6.9,-73.990318,40.737122,-73.97627,40.744955,1.0,1.4694752956436286
9.7,-73.982613,40.771843,-73.978862,40.754318,2.0,1.9741320914557092
10.1,-73.980253,40.765255,-73.974253,40.731925,2.0,3.7404332859766165
9.7,-73.954797,40.767289,-73.974788,40.754888,1.0,2.1763083564238634
5.3,-73.956158,40.781593,-73.966138,40.773645,1.0,1.2195217297895897
5.7,-73.991201,40.750336,-73.977786,40.752390000000005,1.0,1.1528712807884434
7.5,-73.97513199999999,40.73302,-73.977113,40.752058,1.0,2.123497519022371
10.5,-73.995627,40.749295,-73.965087,40.77161,1.0,3.5739561434812805
6.1,-73.985523,40.760627,-73.98918499999999,40.774452,1.0,1.5678988052202285
6.5,-74.00299072265625,40.73112869262695,-74.00541687011719,40.74004364013672,1.0,1.012154020424186
7.7,-73.962497,40.76308,-73.98472,40.736343,1.0,3.513300762627258
